Name,Link to hotel,price,vendorInner,popindex,Review1,Review2,review_count,Review 3,Review4
Hotel Hari Piorko,https://www.tripadvisor.in/Hotel_Review-g304551-d1415547-Reviews-Hotel_Hari_Piorko-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,172",MakeMyTrip,"#24 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"2,170 reviews",,Free cancellation
Hotel Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d2445301-Reviews-Hotel_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,608",Hotels.com,"#25 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,733 reviews,,Free cancellation
Hotel Ajanta,https://www.tripadvisor.in/Hotel_Review-g304551-d306951-Reviews-Hotel_Ajanta-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,843",Booking.com,"#26 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"2,284 reviews",Breakfast included,Free cancellation
Hotel Emperor Palms,https://www.tripadvisor.in/Hotel_Review-g304551-d940065-Reviews-Hotel_Emperor_Palms-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,472",goibibo.com,"#27 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,493 reviews,Breakfast included,Free cancellation
Tatvamasi Homestay,https://www.tripadvisor.in/Hotel_Review-g304551-d2571829-Reviews-Tatvamasi_Homestay-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 2,463",goibibo.com,"#28 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,443 reviews,,Free cancellation
"The Oberoi, New Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d304216-Reviews-The_Oberoi_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 22,420",MakeMyTrip,"#29 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,595 reviews",,Free cancellation
The Leela Palace New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d1759051-Reviews-The_Leela_Palace_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 18,290",MakeMyTrip,"#30 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"3,780 reviews",,Free cancellation
,,,,,,,,,
Radisson Blu Plaza Delhi Airport,https://www.tripadvisor.in/Hotel_Review-g304551-d306957-Reviews-Radisson_Blu_Plaza_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 9,770",goibibo.com,,Free Wifi,Free parking,"7,084 reviews",Breakfast included,
"ITC Maurya, a Luxury Collection Hotel, New Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d301777-Reviews-ITC_Maurya_a_Luxury_Collection_Hotel_New_Delhi-New_Delhi_National_Capital_Territory_of_.html,"₹ 17,462",Agoda.com,"#31 Best Value of 4,188 places to stay in New Delhi",Spa,Visit hotel website,"4,972 reviews",Breakfast included,
The Lodhi,https://www.tripadvisor.in/Hotel_Review-g304551-d1383462-Reviews-The_Lodhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 16,527",MakeMyTrip,"#32 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,986 reviews,,
Vivanta New Delhi Dwarka,https://www.tripadvisor.in/Hotel_Review-g304551-d7891473-Reviews-Vivanta_New_Delhi_Dwarka-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 10,709",Booking.com,"#33 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,070 reviews",Breakfast included,Free cancellation
,,,,,,,,,
Pullman New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d7767213-Reviews-Pullman_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 12,390",Trip.com,"#34 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"3,185 reviews",Breakfast included,
,,,,,,,,,
,,,,,,,,,
Hyatt Regency Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d306931-Reviews-Hyatt_Regency_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 8,336",MakeMyTrip,"#35 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Pool,"3,748 reviews",,Free cancellation
Colonel's Retreat,https://www.tripadvisor.in/Hotel_Review-g304551-d1371418-Reviews-Colonel_s_Retreat-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,476",Booking.com,,Free Wifi,Free parking,928 reviews,Breakfast included,Free cancellation
,,,,,,,,,
"Pride Plaza Hotel Aerocity, New Delhi",https://www.tripadvisor.in/Hotel_Review-g304551-d9455235-Reviews-Pride_Plaza_Hotel_Aerocity_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 7,859",MakeMyTrip,"#36 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"5,244 reviews",Breakfast included,Free cancellation
Piccadily Hotel,https://www.tripadvisor.in/Hotel_Review-g304551-d1533565-Reviews-Piccadily_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,652",MakeMyTrip,"#37 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"2,095 reviews",,Free cancellation
Park Plaza Delhi CBD Shahdara,https://www.tripadvisor.in/Hotel_Review-g304551-d3668216-Reviews-Park_Plaza_Delhi_CBD_Shahdara-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 7,448",goibibo.com,"#38 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"1,770 reviews",,Free cancellation
Sheraton New Delhi Hotel,https://www.tripadvisor.in/Hotel_Review-g304551-d299757-Reviews-Sheraton_New_Delhi_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 7,358",Agoda.com,"#39 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"2,975 reviews",,
Le Meridien New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d301904-Reviews-Le_Meridien_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,717",Agoda.com,"#40 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,583 reviews",Breakfast included,
,,,,,,,,,
The Neem,https://www.tripadvisor.in/Hotel_Review-g304551-d13370039-Reviews-The_Neem-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,332",MakeMyTrip,,Free Wifi,Free parking,63 reviews,Breakfast included,
Radisson Blu Marina Connaught Place,https://www.tripadvisor.in/Hotel_Review-g304551-d583011-Reviews-Radisson_Blu_Marina_Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,879",goibibo.com,"#41 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"1,538 reviews",Breakfast included,
Park Inn by Radisson New Delhi Lajpat Nagar,https://www.tripadvisor.in/Hotel_Review-g304551-d11999012-Reviews-Park_Inn_by_Radisson_New_Delhi_Lajpat_Nagar-New_Delhi_National_Capital_Territory_of_D.html,"₹ 6,187",Booking.com,"#42 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,208 reviews,Breakfast included,"Reserve now, pay at stay"
The Grand New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d304415-Reviews-The_Grand_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 8,967",MakeMyTrip,"#43 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,097 reviews",,
Crowne Plaza New Delhi Mayur Vihar Noida,https://www.tripadvisor.in/Hotel_Review-g304551-d2144977-Reviews-Crowne_Plaza_New_Delhi_Mayur_Vihar_Noida-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 8,295",CrownePlaza.com,"#44 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"1,207 reviews",,Free cancellation
,,,,,,,,,
The Metropolitan Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g304551-d301910-Reviews-The_Metropolitan_Hotel_Spa-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 6,720",Booking.com,"#45 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"2,497 reviews",Breakfast included,Free cancellation
Hotel Grand Imperial,https://www.tripadvisor.in/Hotel_Review-g304551-d13964392-Reviews-Hotel_Grand_Imperial-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 4,816",Hotels.com,,Free Wifi,Free parking,36 reviews,Breakfast included,Free cancellation
Ginger East Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d2178190-Reviews-Ginger_East_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 4,031",Hotels.com,"#46 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,713 reviews,Breakfast included,Free cancellation
Radisson Blu Hotel New Delhi Paschim Vihar,https://www.tripadvisor.in/Hotel_Review-g304551-d1987285-Reviews-Radisson_Blu_Hotel_New_Delhi_Paschim_Vihar-New_Delhi_National_Capital_Territory_of_Del.html,"₹ 5,664",goibibo.com,"#47 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"2,518 reviews",Breakfast included,
WelcomHotel Dwarka,https://www.tripadvisor.in/Hotel_Review-g304551-d2290968-Reviews-WelcomHotel_Dwarka-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,183",Booking.com,"#48 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,110 reviews",,Free cancellation
,,,,,,,,,
The Suryaa New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d306949-Reviews-The_Suryaa_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,544",MakeMyTrip,"#49 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"4,082 reviews",Breakfast included,Free cancellation
The Umrao,https://www.tripadvisor.in/Hotel_Review-g304551-d3488035-Reviews-The_Umrao-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 4,165",goibibo.com,"#50 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,940 reviews,Breakfast included,Free cancellation
"Four Points by Sheraton New Delhi, Airport Highway",https://www.tripadvisor.in/Hotel_Review-g304551-d3528994-Reviews-Four_Points_by_Sheraton_New_Delhi_Airport_Highway-New_Delhi_National_Capital_Territory.html,"₹ 6,082",Agoda.com,"#51 Best Value of 4,188 places to stay in New Delhi",Pool,Restaurant,849 reviews,,Free cancellation
The Golden Palms Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g304551-d4744115-Reviews-The_Golden_Palms_Hotel_Spa-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,756",MakeMyTrip,"#52 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,160 reviews,,
La Sagrita,https://www.tripadvisor.in/Hotel_Review-g304551-d587255-Reviews-La_Sagrita-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 7,196",Hotels.com,"#53 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,491 reviews,Breakfast included,
Hotel The Royal Plaza,https://www.tripadvisor.in/Hotel_Review-g304551-d1200682-Reviews-Hotel_The_Royal_Plaza-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 4,928",goibibo.com,"#54 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"3,796 reviews",,
Hotel Godwin Deluxe,https://www.tripadvisor.in/Hotel_Review-g304551-d1077221-Reviews-Hotel_Godwin_Deluxe-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 3,762",MakeMyTrip,"#55 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,"1,193 reviews",Breakfast included,Free cancellation
Smyle Inn,https://www.tripadvisor.in/Hotel_Review-g304551-d495582-Reviews-Smyle_Inn-New_Delhi_National_Capital_Territory_of_Delhi.html,₹ 761,Hotels.com,"#56 Best Value of 4,188 places to stay in New Delhi",Free Wifi,,"1,211 reviews",Breakfast included,Free cancellation
Shanti Home,https://www.tripadvisor.in/Hotel_Review-g304551-d675225-Reviews-Shanti_Home-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 5,600",Booking.com,"#57 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Restaurant,"1,294 reviews",Breakfast included,Free cancellation
goStops Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d7939018-Reviews-GoStops_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 1,679",Hotels.com,"#58 Best Value of 4,188 places to stay in New Delhi",Free Wifi,,652 reviews,,Free cancellation
Hotel Sunshine,https://www.tripadvisor.in/Hotel_Review-g304551-d1731417-Reviews-Hotel_Sunshine-New_Delhi_National_Capital_Territory_of_Delhi.html,₹ 850,goibibo.com,"#59 Best Value of 4,188 places to stay in New Delhi",Free Wifi,Free parking,209 reviews,,Free cancellation
The Imperial Hotel,https://www.tripadvisor.in/Hotel_Review-g304551-d301472-Reviews-The_Imperial_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html,"₹ 18,054",Booking.com,"#60 Best Value of 4,188 places to stay in New Delhi",Free parking,Pool,"3,824 reviews",Breakfast included,Free cancellation
